Section,Field Name,Field Description
FORMDSUBMISSION,EDGAR.,
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 person"
FORMDSUBMISSION,OVER100ISSUERFLAG Y,"es, if over 100 issuers"
FORMDSUBMISSION,5.2  ISSUERS,
ISSUERS,ACCESSIONNUMBER,The 20-character s
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary is"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key.
ISSUERS,CIK,Central index key
ISSUERS,ENTITYNAME,Name of Issuer
ISSUERS,STREET,Street Address 1
ISSUERS,STREET,Street Address 2
ISSUERS,CITY,City
ISSUERS,STATEORCOUNTRY,State/Province/Cou
ISSUERS,STATEORCOUNTRYDESCRIP,TION Full name of th
ISSUERS,ZIPCODE,Zip/Postal Code
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issue
ISSUERS,JURISDICTIONOFINC,Jurisdiction of
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,ENTITYTYPE,Entity type
ISSUERS,ENTITYTYPEOTHERDESC,Description of Ent
ISSUERS,YEAROFINC_TIMESPAN_CH,OICE Year of
ISSUERS,YEAROFINC_VALUE_ENTER,ED Year of Incorpora
ISSUERS,5.3  OFFERING,
OFFERING,ACCESSIONNUMBER,The 20-cha
OFFERING,INDUSTRYGROUPTYPE,Type of In
OFFERING,INVESTMENTFUNDTYPE,Type of Se
OFFERING,IS40ACT,Flag to in
OFFERING,REVENUERANGE,Revenue Ra
OFFERING,AGGREGATENETASSETVAL,UERANGE Aggregate
OFFERING,FEDERALEXEMPTIONS_IT,EMS_LIST List of e
OFFERING,ISAMENDMENT,New Notice
OFFERING,PREVIOUSACCESSIONNUM,BER Previous A
OFFERING,SALE_DATE,Sale Date
OFFERING,YETTOOCCUR,First Sale
OFFERING,MORETHANONEYEAR,Duration o
OFFERING,ISEQUITYTYPE,Equity
OFFERING,ISDEBTTYPE,Debt
OFFERING,ISOPTIONTOACQUIRETYP,"E Option, Wa"
OFFERING,ISSECURITYTOBEACQUIR,EDTYPE Security t
OFFERING,ISPOOLEDINVESTMENTFU,NDTYPE Pooled Inv
OFFERING,ISTENANTINCOMMONTYPE,Tenant-in-
OFFERING,ISMINERALPROPERTYTYP,E Mineral Pr
OFFERING,ISOTHERTYPE,Other (des
OFFERING,DESCRIPTIONOFOTHERTY,PE Descriptio
OFFERING,ISBUSINESSCOMBINATIO,NTRANS Is this of
OFFERING,BUSCOMBCLARIFICATION,OFRESP Clarificat
OFFERING,MINIMUMINVESTMENTACC,EPTED Minimum in
OFFERING,OVER100RECIPIENTFLAG,Over 100 r
OFFERING,TOTALOFFERINGAMOUNT,Total offe
OFFERING,TOTALAMOUNTSOLD,Total amou
OFFERING,TOTALREMAINING,Total rema
OFFERING,SALESAMTCLARIFICATIO,NOFRESP Clarificat
OFFERING,HASNONACCREDITEDINVE,STORS Select if
OFFERING,NUMBERNONACCREDITEDI,NVESTORS Number of
OFFERING,TOTALNUMBERALREADYIN,VESTED Regardless
OFFERING,SALESCOMM_DOLLARAMOU,NT Sales Comm
OFFERING,USD,
OFFERING,SALESCOMM_ISESTIMATE,Estimate
OFFERING,FINDERSFEE_DOLLARAMO,UNT Finders Fe
OFFERING,FINDERSFEE_ISESTIMAT,E Estimate
OFFERING,FINDERFEECLARIFICATI,ONOFRESP Clarifica
OFFERING,GROSSPROCEEDSUSED_DO,LLARAMOUNT Provide
OFFERING,GROSSPROCEEDSUSED_IS,ESTIMATE Estimate
OFFERING,GROSSPROCEEDSUSED_CL,AROFRESP Clarifica
OFFERING,AUTHORIZEDREPRESENTA,TIVE I also am
OFFERING,5.4  RECIPIENTS,
RECIPIENTS,ACCESSIONNUMBER,The 20-character
RECIPIENTS,RECIPIENT_SEQ_KEY,Recipient index k
RECIPIENTS,RECIPIENTNAME,Recipient
RECIPIENTS,RECIPIENTCRDNUMBER,Recipient CRD Num
RECIPIENTS,ASSOCIATEDBDNAME,(Associated) Brok
RECIPIENTS,ASSOCIATEDBDCRDNUMBE,R (Associated) Brok
RECIPIENTS,STREET,Street Address 1
RECIPIENTS,STREET,Street Address 2
RECIPIENTS,CITY,City
RECIPIENTS,STATEORCOUNTRY,State/Province/Co
RECIPIENTS,STATEORCOUNTRYDESCRI,PTION Full name of t
RECIPIENTS,ZIPCODE,Zip/Postal Code
RECIPIENTS,STATES_OR_VALUE_LIST,List of States or
RECIPIENTS,DESCRIPTIONS_LIST,Full name of Stat
RECIPIENTS,FOREIGNSOLICITATION,Selected if the r
RECIPIENTS,5.5  RELATEDPERSONS,
RELATEDPERSONS,ACCESSIONNUMBER,The 20-character
RELATEDPERSONS,RELATEDPERSON_SEQ_KE,Y Related person in
RELATEDPERSONS,FIRSTNAME,First Name
RELATEDPERSONS,MIDDLENAME,Middle Name
RELATEDPERSONS,STATEORCOUNTRYDESCRI,PTION Full name of t
RELATEDPERSONS,RELATIONSHIPCLARIFIC,ATION Clarification
RELATEDPERSONS,5.6 SIGNATURES,
SIGNATURES,ACCESSIONNU,MBER The 20-charac
SIGNATURES,SIGNATURE_S,EQ_KEY Signature i
SIGNATURES,ISSUERNAME,Name of Issuer ALP
SIGNATURES,SIGNATURENA,ME Name of signatu
SIGNATURES,NAMEOFSIGNE,R Full name of per
SIGNATURES,SIGNATURETI,TLE Title of perso
SIGNATURES,SIGNATUREDA,TE Date of signatu
SIGNATURES,AL ALABAMA,
SIGNATURES,AK ALASKA,
SIGNATURES,AZ ARIZONA,
SIGNATURES,AR ARKANSAS,
SIGNATURES,CA CALIFORN,IA
SIGNATURES,CO COLORADO,
SIGNATURES,CT CONNECTI,CUT
SIGNATURES,DE DELAWARE,
SIGNATURES,DC DISTRICT,OF COLUMBIA
SIGNATURES,FL FLORIDA,
SIGNATURES,GA GEORGIA,
SIGNATURES,GU GUAM,
SIGNATURES,HI HAWAII,
SIGNATURES,ID IDAHO,
SIGNATURES,IL ILLINOIS,
SIGNATURES,IN INDIANA,
SIGNATURES,IA IOWA,
SIGNATURES,KS KANSAS,
SIGNATURES,KY KENTUCKY,
SIGNATURES,LA LOUISIAN,A
SIGNATURES,ME MAINE,
SIGNATURES,MD MARYLAND,
SIGNATURES,MA MASSACHU,SETTS
SIGNATURES,MI MICHIGAN,
SIGNATURES,MN MINNESOT,A
SIGNATURES,MS MISSISSI,PPI
SIGNATURES,MO MISSOURI,
SIGNATURES,MT MONTANA,
SIGNATURES,NE NEBRASKA,
SIGNATURES,NV NEVADA,
SIGNATURES,NH NEW HAMP,SHIRE
SIGNATURES,NJ NEW JERS,EY
SIGNATURES,NM NEW MEXI,CO
SIGNATURES,NY NEW YORK,
SIGNATURES,NC NORTH CA,ROLINA
SIGNATURES,ND NORTH DA,KOTA
SIGNATURES,OH OHIO,
SIGNATURES,OK OKLAHOMA,
SIGNATURES,OR OREGON,
SIGNATURES,PA PENNSYLV,ANIA
SIGNATURES,RI RHODE IS,LAND
SIGNATURES,SC SOUTH CA,ROLINA
SIGNATURES,SD SOUTH DA,KOTA
SIGNATURES,TN TENNESSE,E
SIGNATURES,TX TEXAS,
SIGNATURES,UT UTAH,
SIGNATURES,VT VERMONT,
SIGNATURES,VA VIRGINIA,
SIGNATURES,WA WASHINGT,ON
SIGNATURES,WV WEST VIR,GINIA
SIGNATURES,WI WISCONSI,N
SIGNATURES,WY WYOMING,
SIGNATURES,PR PUERTO R,ICO
SIGNATURES,VI VIRGIN I,"SLANDS, U.S."
SIGNATURES,"A0 ALBERTA,",CANADA
SIGNATURES,A1 BRITISH,"COLUMBIA, CANADA"
SIGNATURES,Z4 CANADA,FEDERAL LEVEL)
SIGNATURES,A2 MANITOBA,", CANADA"
SIGNATURES,A3 NEW BRUN,"SWICK, CANADA"
SIGNATURES,A4 NEWFOUND,"LAND, CANADA"
SIGNATURES,A5 NOVA SCO,"TIA, CANADA"
SIGNATURES,"A6 ONTARIO,",CANADA
SIGNATURES,A7 PRINCE E,"DWARD ISLAND, CANA"
SIGNATURES,"A8 QUEBEC,",CANADA
SIGNATURES,A9 SASKATCH,"EWAN, CANADA"
SIGNATURES,"B0 YUKON, C",ANADA
SIGNATURES,B2 AFGHANIS,TAN
SIGNATURES,Y6 ALAND IS,LANDS
SIGNATURES,B3 ALBANIA,
SIGNATURES,B4 ALGERIA,
SIGNATURES,B5 AMERICAN,SAMOA
SIGNATURES,B6 ANDORRA,
SIGNATURES,B7 ANGOLA,
SIGNATURES,1A ANGUILLA,
SIGNATURES,B8 ANTARCTI,CA
SIGNATURES,B9 ANTIGUA,AND BARBUDA
SIGNATURES,C1 ARGENTIN,A
SIGNATURES,1B ARMENIA,
SIGNATURES,1C ARUBA,
SIGNATURES,C3 AUSTRALI,A
SIGNATURES,C4 AUSTRIA,
SIGNATURES,1D AZERBAIJ,AN
SIGNATURES,C5 BAHAMAS,
SIGNATURES,C6 BAHRAIN,
SIGNATURES,C7 BANGLADE,SH
SIGNATURES,C8 BARBADOS,
SIGNATURES,1F BELARUS,
SIGNATURES,C9 BELGIUM,
SIGNATURES,D1 BELIZE,
SIGNATURES,G6 BENIN,
SIGNATURES,D0 BERMUDA,
SIGNATURES,D2 BHUTAN,
SIGNATURES,D3 BOLIVIA,
SIGNATURES,1E BOSNIA A,ND HERZEGOVINA
SIGNATURES,B1 BOTSWANA,
SIGNATURES,1M,CROATIA
SIGNATURES,2N,CZECH REPUBLIC
SIGNATURES,1G,DJIBOUTI
SIGNATURES,H2 EGYPT,
SIGNATURES,H3 EL SALVA,DOR
SIGNATURES,H4 EQUATORI,AL GUINEA
SIGNATURES,1J ERITREA,
SIGNATURES,1H ESTONIA,
SIGNATURES,H5 ETHIOPIA,
SIGNATURES,H7 FALKLAND,ISLANDS (MALVINAS
SIGNATURES,H6 FAROE IS,LANDS
SIGNATURES,H8 FIJI,
SIGNATURES,H9 FINLAND,
SIGNATURES,I0 FRANCE,
SIGNATURES,I3 FRENCH G,UIANA
SIGNATURES,I4 FRENCH P,OLYNESIA
SIGNATURES,2C FRENCH S,OUTHERN TERRITORIE
SIGNATURES,I5 GABON,
SIGNATURES,I6 GAMBIA,
SIGNATURES,2Q GEORGIA,
SIGNATURES,2M GERMANY,
SIGNATURES,J0 GHANA,
SIGNATURES,J1 GIBRALTA,R
SIGNATURES,J3 GREECE,
SIGNATURES,J4 GREENLAN,D
SIGNATURES,J5 GRENADA,
SIGNATURES,J6 GUADELOU,PE
SIGNATURES,J8 GUATEMAL,A
SIGNATURES,Y7 GUERNSEY,
SIGNATURES,J9 GUINEA,
SIGNATURES,S0 GUINEA-B,ISSAU
SIGNATURES,K0 GUYANA,
SIGNATURES,K1 HAITI,
SIGNATURES,K4 HEARD IS,LAND AND MCDONALD
SIGNATURES,X4 HOLY SEE,(VATICAN CITY STA
SIGNATURES,K2 HONDURAS,
SIGNATURES,K3 HONG KON,G
SIGNATURES,K5 HUNGARY,
SIGNATURES,K6 ICELAND,
SIGNATURES,K7 INDIA,
SIGNATURES,K8 INDONESI,A
SIGNATURES,"K9 IRAN, IS",LAMIC REPUBLIC OF
SIGNATURES,L0 IRAQ,
SIGNATURES,L2 IRELAND,
SIGNATURES,Y8 ISLE OF,MAN
SIGNATURES,L3 ISRAEL,
SIGNATURES,L6 ITALY,
SIGNATURES,L8 JAMAICA,
SIGNATURES,M0 JAPAN,
SIGNATURES,Y9 JERSEY,
SIGNATURES,M2 JORDAN,
SIGNATURES,1P KAZAKSTA,N
SIGNATURES,M3 KENYA,
SIGNATURES,J2 KIRIBATI,
SIGNATURES,"M4 KOREA, D",EMOCRATIC PEOPLE'S
SIGNATURES,"M5 KOREA, R",EPUBLIC OF
SIGNATURES,M6 KUWAIT,
SIGNATURES,1N KYRGYZST,AN
SIGNATURES,M7 LAO PEOP,LE'S DEMOCRATIC RE
SIGNATURES,1R LATVIA,
SIGNATURES,M8 LEBANON,
SIGNATURES,M9 LESOTHO,
SIGNATURES,N0 LIBERIA,
SIGNATURES,N1 LIBYAN A,RAB JAMAHIRIYA
SIGNATURES,N2 LIECHTEN,STEIN
SIGNATURES,1Q LITHUANI,A
SIGNATURES,N4 LUXEMBOU,RG
SIGNATURES,N5 MACAU,
SIGNATURES,1U MACEDONI,"A, THE FORMER YUGO"
SIGNATURES,1T,MARSHALL ISLANDS
SIGNATURES,2P,MAYOTTE
SIGNATURES,1K,"MICRONESIA, FEDER"
SIGNATURES,1S,"MOLDOVA, REPUBLIC"
SIGNATURES,1W,NEW CALEDONIA
SIGNATURES,1V,NORTHERN MARIANA
SIGNATURES,1Y,PALAU
SIGNATURES,1X,PALESTINIAN TERRI
SIGNATURES,1Z,RUSSIAN FEDERATIO
SIGNATURES,2B,SLOVAKIA
SIGNATURES,2A,SLOVENIA
SIGNATURES,1L,SOUTH GEORGIA AND
SIGNATURES,2D,TAJIKISTAN
SIGNATURES,2E,TURKMENISTAN
SIGNATURES,2G,TUVALU
SIGNATURES,2H,UKRAINE
SIGNATURES,2J,UNITED STATES MIN
SIGNATURES,2K,UZBEKISTAN
SIGNATURES,2L,VANUATU
