Section,Field Name,Field Description
FORMDSUBMISSION,EDGAR.,
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 person"
FORMDSUBMISSION,OVER100ISSUERFLAG Y,"es, if over 100 issuers"
FORMDSUBMISSION,5.2  ISSUERS,
ISSUERS,ACCESSIONNUMBER,The 20-character s
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary is"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key.
ISSUERS,CIK,Central index key
ISSUERS,ENTITYNAME,Name of Issuer
ISSUERS,STREET,Street Address 1
ISSUERS,STREET,Street Address 2
ISSUERS,CITY,City
ISSUERS,STATEORCOUNTRY,State/Province/Cou
ISSUERS,STATEORCOUNTRYDESCRIP,TION Full name of th
ISSUERS,ZIPCODE,Zip/Postal Code
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issue
ISSUERS,JURISDICTIONOFINC,Jurisdiction of
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,ENTITYTYPE,Entity type
ISSUERS,ENTITYTYPEOTHERDESC,Description of Ent
ISSUERS,YEAROFINC_TIMESPAN_CH,OICE Year of
ISSUERS,YEAROFINC_VALUE_ENTER,ED Year of Incorpora
ISSUERS,5.3  OFFERING,
OFFERING,ACCESSIONNUMBER,The 20-cha
OFFERING,INDUSTRYGROUPTYPE,Type of In
OFFERING,INVESTMENTFUNDTYPE,Type of Se
OFFERING,IS40ACT,Flag to in
OFFERING,REVENUERANGE,Revenue Ra
OFFERING,AGGREGATENETASSETVAL,UERANGE Aggregate
OFFERING,FEDERALEXEMPTIONS_IT,EMS_LIST List of e
OFFERING,ISAMENDMENT,New Notice
OFFERING,PREVIOUSACCESSIONNUM,BER Previous A
OFFERING,SALE_DATE,Sale Date
OFFERING,YETTOOCCUR,First Sale
OFFERING,MORETHANONEYEAR,Duration o
OFFERING,ISEQUITYTYPE,Equity
OFFERING,ISDEBTTYPE,Debt
OFFERING,ISOPTIONTOACQUIRETYP,"E Option, Wa"
OFFERING,ISSECURITYTOBEACQUIR,EDTYPE Security t
OFFERING,ISPOOLEDINVESTMENTFU,NDTYPE Pooled Inv
OFFERING,ISTENANTINCOMMONTYPE,Tenant-in-
OFFERING,ISMINERALPROPERTYTYP,E Mineral Pr
OFFERING,ISOTHERTYPE,Other (des
OFFERING,DESCRIPTIONOFOTHERTY,PE Descriptio
OFFERING,ISBUSINESSCOMBINATIO,NTRANS Is this of
OFFERING,BUSCOMBCLARIFICATION,OFRESP Clarificat
OFFERING,MINIMUMINVESTMENTACC,EPTED Minimum in
OFFERING,OVER100RECIPIENTFLAG,Over 100 r
OFFERING,TOTALOFFERINGAMOUNT,Total offe
OFFERING,TOTALAMOUNTSOLD,Total amou
OFFERING,TOTALREMAINING,Total rema
OFFERING,SALESAMTCLARIFICATIO,NOFRESP Clarificat
OFFERING,HASNONACCREDITEDINVE,STORS Select if
OFFERING,NUMBERNONACCREDITEDI,NVESTORS Number of
OFFERING,TOTALNUMBERALREADYIN,VESTED Regardless
OFFERING,SALESCOMM_DOLLARAMOU,NT Sales Comm
OFFERING,USD,
OFFERING,SALESCOMM_ISESTIMATE,Estimate
OFFERING,FINDERSFEE_DOLLARAMO,UNT Finders Fe
OFFERING,FINDERSFEE_ISESTIMAT,E Estimate
OFFERING,FINDERFEECLARIFICATI,ONOFRESP Clarifica
OFFERING,GROSSPROCEEDSUSED_DO,LLARAMOUNT Provide
OFFERING,GROSSPROCEEDSUSED_IS,ESTIMATE Estimate
OFFERING,GROSSPROCEEDSUSED_CL,AROFRESP Clarifica
OFFERING,AUTHORIZEDREPRESENTA,TIVE I also am
OFFERING,5.4  RECIPIENTS,
RECIPIENTS,ACCESSIONNUMBER,The 20-character
RECIPIENTS,RECIPIENT_SEQ_KEY,Recipient index k
RECIPIENTS,RECIPIENTNAME,Recipient
RECIPIENTS,RECIPIENTCRDNUMBER,Recipient CRD Num
RECIPIENTS,ASSOCIATEDBDNAME,(Associated) Brok
RECIPIENTS,ASSOCIATEDBDCRDNUMBE,R (Associated) Brok
RECIPIENTS,STREET,Street Address 1
RECIPIENTS,STREET,Street Address 2
RECIPIENTS,CITY,City
RECIPIENTS,STATEORCOUNTRY,State/Province/Co
RECIPIENTS,STATEORCOUNTRYDESCRI,PTION Full name of t
RECIPIENTS,ZIPCODE,Zip/Postal Code
RECIPIENTS,STATES_OR_VALUE_LIST,List of States or
RECIPIENTS,DESCRIPTIONS_LIST,Full name of Stat
RECIPIENTS,FOREIGNSOLICITATION,Selected if the r
RECIPIENTS,5.5  RELATEDPERSONS,
RELATEDPERSONS,ACCESSIONNUMBER,The 20-character
RELATEDPERSONS,RELATEDPERSON_SEQ_KE,Y Related person in
RELATEDPERSONS,FIRSTNAME,First Name
RELATEDPERSONS,MIDDLENAME,Middle Name
RELATEDPERSONS,LASTNAME,Last Name
RELATEDPERSONS,STREET,Street Address 1
RELATEDPERSONS,STREET,Street Address 2
RELATEDPERSONS,CITY,City
RELATEDPERSONS,STATEORCOUNTRY,State/Province/Co
RELATEDPERSONS,STATEORCOUNTRYDESCRI,PTION Full name of t
RELATEDPERSONS,ZIPCODE,Zip/Postal Code
RELATEDPERSONS,RELATIONSHIP_,Relationship of r
RELATEDPERSONS,RELATIONSHIP_,Relationship of r
RELATEDPERSONS,RELATIONSHIP_,Relationship of r
RELATEDPERSONS,RELATIONSHIPCLARIFIC,ATION Clarification
RELATEDPERSONS,5.6  SIGNATURES,
SIGNATURES,SIGNATURE_SEQ_KEY,Signature index key. N
