Section,Field Name,Field Description
FORMDSUBMISSION,EDGAR.,
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 perso"
FORMDSUBMISSION,OVER100ISSUERFLAG,"Yes, if over 100 issuer"
FORMDSUBMISSION,5.2  ISSUERS,
ISSUERS,ACCESSIONNUMBER,The 20-character s
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary is"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key.
ISSUERS,CIK,Central index key
ISSUERS,ENTITYNAME,Name of Issuer
ISSUERS,STREET,Street Address 1
ISSUERS,STREET,Street Address 2
ISSUERS,CITY,City
ISSUERS,STATEORCOUNTRY,State/Province/Cou
ISSUERS,STATEORCOUNTRYDESCRIP,TION Full name of t
ISSUERS,ZIPCODE,Zip/Postal Code
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issue
ISSUERS,JURISDICTIONOFINC,Jurisdiction of
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Na
ISSUERS,ENTITYTYPE,Entity type
ISSUERS,ENTITYTYPEOTHERDESC,Description of Ent
ISSUERS,YEAROFINC_TIMESPAN_CH,OICE Year of
ISSUERS,YEAROFINC_VALUE_ENTER,ED Year of Incorpor
ISSUERS,5.3  OFFERING,
OFFERING,ACCESSIONNUMBER,The 20-char
OFFERING,INDUSTRYGROUPTYPE,Type of Ind
OFFERING,INVESTMENTFUNDTYPE,Type of Sec
OFFERING,IS40ACT,Flag to ind
OFFERING,REVENUERANGE,Revenue Ran
OFFERING,AGGREGATENETASSETVAL,UERANGE Aggregate
OFFERING,FEDERALEXEMPTIONS_IT,EMS_LIST List of e
OFFERING,ISAMENDMENT,New Notice
OFFERING,PREVIOUSACCESSIONNUM,BER Previous Ac
OFFERING,SALE_DATE,Sale Date
OFFERING,YETTOOCCUR,First Sale
OFFERING,MORETHANONEYEAR,Duration of
OFFERING,ISEQUITYTYPE,Equity
OFFERING,ISDEBTTYPE,Debt
OFFERING,ISOPTIONTOACQUIRETYP,"E Option, War"
OFFERING,ISSECURITYTOBEACQUIR,EDTYPE Security to
OFFERING,ISPOOLEDINVESTMENTFU,NDTYPE Pooled Inve
OFFERING,ISTENANTINCOMMONTYPE,Tenant-in-C
OFFERING,ISMINERALPROPERTYTYP,E Mineral Pro
OFFERING,ISOTHERTYPE,Other (desc
OFFERING,DESCRIPTIONOFOTHERTY,PE Description
OFFERING,ISBUSINESSCOMBINATIO,NTRANS Is this off
OFFERING,BUSCOMBCLARIFICATION,OFRESP Clarificati
OFFERING,MINIMUMINVESTMENTACC,EPTED Minimum inv
OFFERING,OVER100RECIPIENTFLAG,Over 100 re
OFFERING,TOTALOFFERINGAMOUNT,Total offer
