Section,Field Name,Field Description
FORMDSUBMISSION,ACCESSIONNUMBER,The 20-character string f
FORMDSUBMISSION,from,the 18-digit number assigned (nnnnnn
FORMDSUBMISSION,by,the Commission to each EDGAR nnnnnn)
FORMDSUBMISSION,submission.,
FORMDSUBMISSION,FILE_NUM,File Number provided by
FORMDSUBMISSION,Commission,for the submission. The
FORMDSUBMISSION,File,Number is sourced from
FORMDSUBMISSION,EDGAR.,
FORMDSUBMISSION,FILING_DATE,Date filed with the Commi
FORMDSUBMISSION,Filing,Date is sourced from EDGAR.
FORMDSUBMISSION,SIC_CODE,Standard Industrial Class
FORMDSUBMISSION,Codes.,These codes are also used
FORMDSUBMISSION,as,a basis for assigning review
FORMDSUBMISSION,responsibility,for the company's
FORMDSUBMISSION,filings.,
FORMDSUBMISSION,SUBMISSIONTYPE,Submission type A
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 perso"
FORMDSUBMISSION,OVER100ISSUERFLAG,"Yes, if over 100 issuer"
FORMDSUBMISSION,Note:,To access the complete submission fi
FORMDSUBMISSION,The,Commission website folder https://www.
FORMDSUBMISSION,contain,all the data sets for a given subm
FORMDSUBMISSION,FORMDSUBMISSION,"data set, simply substitut"
FORMDSUBMISSION,{accession},with the ACCESSIONNUMBER field
FORMDSUBMISSION,5.,ISSUERS
FORMDSUBMISSION,The,ISSUERS data file contains specified i
ISSUERS,ACCESSIONNUMBER,The 20-character s
ISSUERS,from,the 18-digit number (nnnnnnnnnn-
ISSUERS,assigned,by the Commission to nn-nnnnnn)
ISSUERS,each,EDGAR submission.
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary is"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key.
ISSUERS,CIK,Central index key
ISSUERS,issuer,submitting the filing.
ISSUERS,ENTITYNAME,Name of Issuer
ISSUERS,STREET,Street Address 1
ISSUERS,STREET,Street Address 2
ISSUERS,CITY,City
ISSUERS,STATEORCOUNTRY,State/Province/Cou
ISSUERS,STATEORCOUNTRYDESCRIPTION,Full name of t
ISSUERS,state,
ISSUERS,ZIPCODE,Zip/Postal Code
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issue
ISSUERS,JURISDICTIONOFINC,Jurisdiction of
ISSUERS,Incorporation/Organization,
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Na
ISSUERS,ENTITYTYPE,Entity type
ISSUERS,ENTITYTYPEOTHERDESC,Description of Ent
ISSUERS,indicated,as 'Other' in Entity
ISSUERS,Type,
ISSUERS,YEAROFINC_TIMESPAN_CHOICE,Year of
ISSUERS,Incorporation/Organization,
ISSUERS,Years,(Specify Year)
ISSUERS,YEAROFINC_VALUE_ENTERED,Year of Incorpor
ISSUERS,entered,
ISSUERS,5.,OFFERING
ISSUERS,The,OFFERING data file contains informati
OFFERING,ACCESSIONNUMBER,The 20-char
OFFERING,formed,from the 18- (nnnnnnnnnn-
OFFERING,digit,number assigned nn-nnnnnn)
OFFERING,by,the Commission to
OFFERING,each,EDGAR
OFFERING,submission.,
OFFERING,INDUSTRYGROUPTYPE,Type of Ind
OFFERING,INVESTMENTFUNDTYPE,Type of Sec
OFFERING,Offered,
OFFERING,IS40ACT,Flag to ind
OFFERING,whether,the issuer
OFFERING,registered,as an
