Section,Field Name,Field Description
FORMDSUBMISSION,ACCESSIONNUMBER,The 20-character string f
FORMDSUBMISSION,FILE_NUM,File Number provided by A
FORMDSUBMISSION,FILING_DATE,Date filed with the Commi
FORMDSUBMISSION,SIC_CODE,Standard Industrial Class
FORMDSUBMISSION,SUBMISSIONTYPE,Submission type A
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 person"
FORMDSUBMISSION,OVER100ISSUERFLAG,"Yes, if over 100 issuers"
FORMDSUBMISSION,FORMDSUBMISSION,"data set, simply substitut"
ISSUERS,ACCESSIONNUMBER,The 20-character s
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary is"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key.
ISSUERS,CIK,Central index key
ISSUERS,ENTITYNAME,Name of Issuer
ISSUERS,STREET,Street Address 1
ISSUERS,STREET,Street Address 2
ISSUERS,CITY,City
ISSUERS,STATEORCOUNTRY,State/Province/Cou
ISSUERS,STATEORCOUNTRYDESCRIPTION,Full name of th
ISSUERS,ZIPCODE,Zip/Postal Code
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issue
ISSUERS,JURISDICTIONOFINC,Jurisdiction of
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_1EDGAR,Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_2EDGAR,Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_3EDGAR,Previous Nam
ISSUERS,ENTITYTYPE,Entity type
ISSUERS,ENTITYTYPEOTHERDESC,Description of Ent
ISSUERS,YEAROFINC_TIMESPAN_CHOICE,Year of
ISSUERS,YEAROFINC_VALUE_ENTERED,Year of Incorpora
OFFERING,ACCESSIONNUMBER,The 20-cha
OFFERING,INDUSTRYGROUPTYPE,Type of In
OFFERING,INVESTMENTFUNDTYPE,Type of Se
OFFERING,IS40ACT,Flag to in
OFFERING,REVENUERANGE,Revenue Ra
OFFERING,AGGREGATENETASSETVALUERANGE,Aggregate
OFFERING,FEDERALEXEMPTIONS_ITEMS_LIST,List of e
OFFERING,ISAMENDMENT,New Notice
OFFERING,PREVIOUSACCESSIONNUMBER,Previous A
OFFERING,SALE_DATE,Sale Date
OFFERING,YETTOOCCUR,First Sale
OFFERING,MORETHANONEYEAR,Duration o
OFFERING,ISEQUITYTYPE,Equity
OFFERING,ISDEBTTYPE,Debt
OFFERING,ISOPTIONTOACQUIRETYPE,"Option, Wa"
OFFERING,ISSECURITYTOBEACQUIREDTYPE,Security t
OFFERING,ISPOOLEDINVESTMENTFUNDTYPE,Pooled Inv
OFFERING,ISTENANTINCOMMONTYPE,Tenant-in-
OFFERING,ISMINERALPROPERTYTYPE,Mineral Pr
OFFERING,ISOTHERTYPE,Other (des
OFFERING,DESCRIPTIONOFOTHERTYPE,Descriptio
OFFERING,ISBUSINESSCOMBINATIONTRANS,Is this of
OFFERING,BUSCOMBCLARIFICATIONOFRESP,Clarificat
OFFERING,MINIMUMINVESTMENTACCEPTED,Minimum in
OFFERING,OVER100RECIPIENTFLAG,Over 100 r
OFFERING,TOTALOFFERINGAMOUNT,Total offe
OFFERING,TOTALAMOUNTSOLD,Total amou
OFFERING,TOTALREMAINING,Total rema
OFFERING,SALESAMTCLARIFICATIONOFRESP,Clarificat
OFFERING,HASNONACCREDITEDINVESTORS,Select if
OFFERING,NUMBERNONACCREDITEDINVESTORS,Number of
OFFERING,TOTALNUMBERALREADYINVESTED,Regardless
OFFERING,SALESCOMM_DOLLARAMOUNT,Sales Comm
OFFERING,USD,
OFFERING,SALESCOMM_ISESTIMATE,Estimate
OFFERING,FINDERSFEE_DOLLARAMOUNT,Finders Fe
OFFERING,FINDERSFEE_ISESTIMATE,Estimate
OFFERING,FINDERFEECLARIFICATIONOFRESP,Clarifica
OFFERING,GROSSPROCEEDSUSED_DOLLARAMOUNT,Provide
OFFERING,GROSSPROCEEDSUSED_ISESTIMATE,Estimate
OFFERING,GROSSPROCEEDSUSED_CLAROFRESP,Clarifica
OFFERING,AUTHORIZEDREPRESENTATIVEI,also am
RECIPIENTS,ACCESSIONNUMBER,The 20-character
RECIPIENTS,RECIPIENT_SEQ_KEY,Recipient index k
RECIPIENTS,RECIPIENTNAME,Recipient
RECIPIENTS,RECIPIENTCRDNUMBER,Recipient CRD Num
RECIPIENTS,ASSOCIATEDBDNAME,(Associated) Brok
RECIPIENTS,ASSOCIATEDBDCRDNUMBER,(Associated) Brok
RECIPIENTS,CRD,Number
RECIPIENTS,STREET,Street Address 1
RECIPIENTS,STREET,Street Address 2
RECIPIENTS,CITY,City
RECIPIENTS,STATEORCOUNTRY,State/Province/Co
RECIPIENTS,STATEORCOUNTRYDESCRIPTION,Full name of t
RECIPIENTS,ZIPCODE,Zip/Postal Code
RECIPIENTS,STATES_OR_VALUE_LIST,List of States or
RECIPIENTS,DESCRIPTIONS_LIST,Full name of Stat
RECIPIENTS,FOREIGNSOLICITATION,Selected if the r
RELATEDPERSONS,ACCESSIONNUMBER,The 20-character
RELATEDPERSONS,RELATEDPERSON_SEQ_KEY,Related person in
RELATEDPERSONS,FIRSTNAME,First Name
RELATEDPERSONS,MIDDLENAME,Middle Name
RELATEDPERSONS,LASTNAME,Last Name
RELATEDPERSONS,STREET,Street Address 1
RELATEDPERSONS,STREET,Street Address 2
RELATEDPERSONS,CITY,City
RELATEDPERSONS,STATEORCOUNTRY,State/Province/Co
RELATEDPERSONS,STATEORCOUNTRYDESCRIPTION,Full name of t
RELATEDPERSONS,ZIPCODE,Zip/Postal Code
RELATEDPERSONS,RELATIONSHIP_,Relationship of r
RELATEDPERSONS,RELATIONSHIP_,Relationship of r
RELATEDPERSONS,RELATIONSHIP_,Relationship of r
RELATEDPERSONS,RELATIONSHIPCLARIFICATION,Clarification
SIGNATURES,ACCESSIONNUMBER,The 20-character string f
SIGNATURES,SIGNATURE_SEQ_KEY,Signature index key. N
SIGNATURES,ISSUERNAME,Name of Issuer A
SIGNATURES,SIGNATURENAME,Name of signature A
SIGNATURES,NAMEOFSIGNER,Full name of person signi
SIGNATURES,SIGNATURETITLE,Title of person signing t
SIGNATURES,SIGNATUREDATE,Date of signature. A
