Section,Field Name,Field Description
FORMDSUBMISSION,EDGAR.,
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 person"
FORMDSUBMISSION,OVER100ISSUERFLAG Y,"es, if over 100 issuers"
FORMDSUBMISSION,5.2  ISSUERS,
ISSUERS,ACCESSIONNUMBER,The 20-character s
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary is"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key.
ISSUERS,CIK,Central index key
ISSUERS,ENTITYNAME,Name of Issuer
ISSUERS,STREET,Street Address 1
ISSUERS,STREET,Street Address 2
ISSUERS,CITY,City
ISSUERS,STATEORCOUNTRY,State/Province/Cou
ISSUERS,STATEORCOUNTRYDESCRIP,TION Full name of th
ISSUERS,ZIPCODE,Zip/Postal Code
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issue
ISSUERS,JURISDICTIONOFINC,Jurisdiction of
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Na
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Nam
ISSUERS,ENTITYTYPE,Entity type
ISSUERS,ENTITYTYPEOTHERDESC,Description of Ent
ISSUERS,YEAROFINC_TIMESPAN_CH,OICE Year of
ISSUERS,YEAROFINC_VALUE_ENTER,ED Year of Incorpora
ISSUERS,5.3  OFFERING,
OFFERING,ACCESSIONNUMBER,The 20-cha
OFFERING,INDUSTRYGROUPTYPE,Type of In
OFFERING,INVESTMENTFUNDTYPE,Type of Se
OFFERING,IS40ACT,Flag to in
OFFERING,REVENUERANGE,Revenue Ra
OFFERING,AGGREGATENETASSETVAL,UERANGE Aggregate
OFFERING,FEDERALEXEMPTIONS_IT,EMS_LIST List of e
OFFERING,ISAMENDMENT,New Notice
OFFERING,PREVIOUSACCESSIONNUM,BER Previous A
OFFERING,SALE_DATE,Sale Date
OFFERING,YETTOOCCUR,First Sale
OFFERING,MORETHANONEYEAR,Duration o
OFFERING,ISEQUITYTYPE,Equity
OFFERING,ISDEBTTYPE,Debt
OFFERING,ISOPTIONTOACQUIRETYP,"E Option, Wa"
OFFERING,ISSECURITYTOBEACQUIR,EDTYPE Security t
OFFERING,ISPOOLEDINVESTMENTFU,NDTYPE Pooled Inv
OFFERING,ISTENANTINCOMMONTYPE,Tenant-in-
OFFERING,ISMINERALPROPERTYTYP,E Mineral Pr
OFFERING,ISOTHERTYPE,Other (des
OFFERING,DESCRIPTIONOFOTHERTY,PE Descriptio
OFFERING,ISBUSINESSCOMBINATIO,NTRANS Is this of
OFFERING,BUSCOMBCLARIFICATION,OFRESP Clarificat
OFFERING,MINIMUMINVESTMENTACC,EPTED Minimum in
OFFERING,OVER100RECIPIENTFLAG,Over 100 r
OFFERING,TOTALOFFERINGAMOUNT,Total offe
OFFERING,TOTALAMOUNTSOLD,Total amou
OFFERING,TOTALREMAINING,Total rema
OFFERING,SALESAMTCLARIFICATIO,NOFRESP Clarificat
OFFERING,HASNONACCREDITEDINVE,STORS Select if
OFFERING,NUMBERNONACCREDITEDI,NVESTORS Number of
OFFERING,TOTALNUMBERALREADYIN,VESTED Regardless
OFFERING,SALESCOMM_DOLLARAMOU,NT Sales Comm
OFFERING,USD,
OFFERING,SALESCOMM_ISESTIMATE,Estimate
OFFERING,FINDERSFEE_DOLLARAMO,UNT Finders Fe
OFFERING,FINDERSFEE_ISESTIMAT,E Estimate
OFFERING,FINDERFEECLARIFICATI,ONOFRESP Clarifica
OFFERING,GROSSPROCEEDSUSED_DO,LLARAMOUNT Provide
OFFERING,GROSSPROCEEDSUSED_IS,ESTIMATE Estimate
OFFERING,GROSSPROCEEDSUSED_CL,AROFRESP Clarifica
OFFERING,AUTHORIZEDREPRESENTA,TIVE I also am
OFFERING,5.4  RECIPIENTS,
RECIPIENTS,ACCESSIONNUMBER,The 20-character
RECIPIENTS,RECIPIENT_SEQ_KEY,Recipient index k
RECIPIENTS,RECIPIENTNAME,Recipient
RECIPIENTS,RECIPIENTCRDNUMBER,Recipient CRD Num
RECIPIENTS,ASSOCIATEDBDNAME,(Associated) Brok
RECIPIENTS,ASSOCIATEDBDCRDNUMBE,R (Associated) Brok
RECIPIENTS,STREET,Street Address 1
RECIPIENTS,STREET,Street Address 2
RECIPIENTS,CITY,City
RECIPIENTS,STATEORCOUNTRY,State/Province/Co
RECIPIENTS,STATEORCOUNTRYDESCRI,PTION Full name of t
RECIPIENTS,ZIPCODE,Zip/Postal Code
RECIPIENTS,STATES_OR_VALUE_LIST,List of States or
RECIPIENTS,DESCRIPTIONS_LIST,Full name of Stat
RECIPIENTS,FOREIGNSOLICITATION,Selected if the r
RECIPIENTS,5.5  RELATEDPERSONS,
RELATEDPERSONS,ACCESSIONNUMBER,The 20-character
RELATEDPERSONS,RELATEDPERSON_SEQ_KE,Y Related person in
RELATEDPERSONS,FIRSTNAME,First Name
RELATEDPERSONS,MIDDLENAME,Middle Name
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:9]
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:10]
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:11]
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:12]
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:13]
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:14]
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:15]
RELATEDPERSONS,[SKIPPED_PAGE_DUE_TO,_HANGS:16]
RELATEDPERSONS,1V          NORTHERN,MARIANA ISLANDS
RELATEDPERSONS,Q8          NORWAY,
RELATEDPERSONS,P4          OMAN,
RELATEDPERSONS,R0          PAKISTAN,
RELATEDPERSONS,1Y          PALAU,
RELATEDPERSONS,1X          PALESTIN,"IAN TERRITORY, OCCUP"
RELATEDPERSONS,R1          PANAMA,
RELATEDPERSONS,R2          PAPUA NE,W GUINEA
RELATEDPERSONS,R4          PARAGUAY,
RELATEDPERSONS,R5          PERU,
RELATEDPERSONS,R6          PHILIPPI,NES
RELATEDPERSONS,R8          PITCAIRN,
RELATEDPERSONS,R9          POLAND,
RELATEDPERSONS,S1          PORTUGAL,
RELATEDPERSONS,S3          QATAR,
RELATEDPERSONS,S4          REUNION,
RELATEDPERSONS,S5          ROMANIA,
RELATEDPERSONS,1Z          RUSSIAN,FEDERATION
RELATEDPERSONS,S6          RWANDA,
RELATEDPERSONS,Z0          SAINT BA,RTHELEMY
RELATEDPERSONS,U8          SAINT HE,LENA
RELATEDPERSONS,U7          SAINT KI,TTS AND NEVIS
RELATEDPERSONS,U9          SAINT LU,CIA
RELATEDPERSONS,Z1          SAINT MA,RTIN
RELATEDPERSONS,V0          SAINT PI,ERRE AND MIQUELON
RELATEDPERSONS,V1          SAINT VI,NCENT AND THE GRENAD
RELATEDPERSONS,Y0          SAMOA,
RELATEDPERSONS,S8          SAN MARI,NO
RELATEDPERSONS,S9          SAO TOME,AND PRINCIPE
RELATEDPERSONS,T0          SAUDI AR,ABIA
RELATEDPERSONS,T1          SENEGAL,
RELATEDPERSONS,Z2          SERBIA,
RELATEDPERSONS,T2          SEYCHELL,ES
RELATEDPERSONS,T8          SIERRA L,EONE
RELATEDPERSONS,U0          SINGAPOR,E
RELATEDPERSONS,2B          SLOVAKIA,
RELATEDPERSONS,2A          SLOVENIA,
RELATEDPERSONS,D7          SOLOMON,ISLANDS
RELATEDPERSONS,U1          SOMALIA,
RELATEDPERSONS,T3          SOUTH AF,RICA
RELATEDPERSONS,1L          SOUTH GE,ORGIA AND THE SOUTH
RELATEDPERSONS,U3          SPAIN,
RELATEDPERSONS,F1          SRI LANK,A
RELATEDPERSONS,V2          SUDAN,
RELATEDPERSONS,V3          SURINAME,
RELATEDPERSONS,L9          SVALBARD,AND JAN MAYEN
RELATEDPERSONS,V6          SWAZILAN,D
RELATEDPERSONS,V7          SWEDEN,
RELATEDPERSONS,V8          SWITZERL,AND
RELATEDPERSONS,V9          SYRIAN A,RAB REPUBLIC
RELATEDPERSONS,"F5          TAIWAN,",PROVINCE OF CHINA
RELATEDPERSONS,2D          TAJIKIST,AN
RELATEDPERSONS,W0          TANZANIA,", UNITED REPUBLIC OF"
RELATEDPERSONS,W1          THAILAND,
RELATEDPERSONS,Z3          TIMOR-LE,STE
RELATEDPERSONS,W2          TOGO,
RELATEDPERSONS,W3          TOKELAU,
RELATEDPERSONS,W4          TONGA,
RELATEDPERSONS,W5          TRINIDAD,AND TOBAGO
RELATEDPERSONS,W6          TUNISIA,
RELATEDPERSONS,W8          TURKEY,
RELATEDPERSONS,2E          TURKMENI,STAN
RELATEDPERSONS,W7          TURKS AN,D CAICOS ISLANDS
RELATEDPERSONS,2G          TUVALU,
RELATEDPERSONS,W9          UGANDA,
RELATEDPERSONS,2H          UKRAINE,
RELATEDPERSONS,C0          UNITED A,RAB EMIRATES
RELATEDPERSONS,X0          UNITED K,INGDOM
RELATEDPERSONS,2J          UNITED S,TATES MINOR OUTLYING
RELATEDPERSONS,X3          URUGUAY,
RELATEDPERSONS,2K          UZBEKIST,AN
RELATEDPERSONS,2L          VANUATU,
RELATEDPERSONS,X5          VENEZUEL,A
RELATEDPERSONS,Q1          VIET NAM,
RELATEDPERSONS,D8          VIRGIN I,"SLANDS, BRITISH"
RELATEDPERSONS,X8          WALLIS A,ND FUTUNA
