Section,Field Name,Field Description
FORMDSUBMISSION,NULL,Key
FORMDSUBMISSION,ACCESSIONNUMBER,The 20 -character string formed
FORMDSUBMISSION,FILE_NUM,File Number provided by
FORMDSUBMISSION,FILING_DATE,Date filed with the Commission. The
FORMDSUBMISSION,SIC_CODE,Standard Industrial Classification
FORMDSUBMISSION,SUBMISSIONTYPE,Submission type ALPHANUMERIC 255 No
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 persons. ALPHANUMERIC 5 Yes"
FORMDSUBMISSION,OVER100ISSUERFLAG,"Yes, if over 100 issuers. ALPHANUMERIC 5 Yes"
FORMDSUBMISSION,FORMDSUBMISSION,"data set, simply substitute {cik} with the CIK (see ISSUERS) field and replace"
ISSUERS,NULL,Key
ISSUERS,ACCESSIONNUMBER,The 20 -character string formed
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary issuer; No if not ALPHANUMERIC 3 No"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key. NUMERIC 38 No *
ISSUERS,CIK,Central index key (CIK) of
ISSUERS,ENTITYNAME,Name of Issuer ALPHANUMERIC 150 Yes
ISSUERS,STREET1,Street Address 1 ALPHANUMERIC 40 No
ISSUERS,STREET2,Street Address 2 ALPHANUMERIC 40 Yes
ISSUERS,CITY,City ALPHANUMERIC 30 No
ISSUERS,STATEORCOUNTRY,State/Province/Country ALPHANUMERIC 255 No
ISSUERS,STATEORCOUNTRYDESCRIPTION,Full name of the country or
ISSUERS,ZIPCODE,Zip/Postal Code ALPHANUMERIC 10 No
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issuer ALPHANUMERIC 20 No
ISSUERS,JURISDICTIONOFINC,Jurisdiction of
ISSUERS,ISSUER_PREVIOUSNAME_1,Issuer Previous Name 1 ALPHANUMERIC 150 Yes
ISSUERS,ISSUER_PREVIOUSNAME_2,Issuer Previous Name 2 ALPHANUMERIC 150 Yes
ISSUERS,ISSUER_PREVIOUSNAME_3,Issuer Previous Name 3 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_1,EDGAR Previous Name 1 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_2,EDGAR Previous Name 2 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_3,EDGAR Previous Name 3 ALPHANUMERIC 150 Yes
ISSUERS,ENTITYTYPE,Entity type ALPHANUMERIC 255 No
ISSUERS,ENTITYTYPEOTHERDESC,Description of Entity Type when
ISSUERS,YEAROFINC_TIMESPAN_CHOICE,Year of
ISSUERS,YEAROFINC_VALUE_ENTERED,Year of Incorporation value
OFFERING,NULL,Key
OFFERING,ACCESSIONNUMBER,The 20 -character string
OFFERING,INDUSTRYGROUPTYPE,Type of Industry ALPHANUMERIC 255 No
OFFERING,INVESTMENTFUNDTYPE,Type of Securities
OFFERING,IS40ACT,Flag to indicate
OFFERING,REVENUERANGE,Revenue Range ALPHANUMERIC 255 Yes
OFFERING,AGGREGATENETASSETVALUERANGE,Aggregate Net Asset
OFFERING,FEDERALEXEMPTIONS_ITEMS_LIST,List of exemptions
OFFERING,ISAMENDMENT,New Notice
OFFERING,PREVIOUSACCESSIONNUMBER,Previous Accession
OFFERING,SALE_DATE,Sale Date ALPHANUMERIC 255 Yes
OFFERING,YETTOOCCUR,First Sale Yet to Occur ALPHANUMERIC 5 Yes
OFFERING,MORETHANONEYEAR,Duration of offering
OFFERING,ISEQUITYTYPE,Equity ALPHANUMERIC 5 Yes
OFFERING,ISDEBTTYPE,Debt ALPHANUMERIC 5 Yes
OFFERING,ISOPTIONTOACQUIRETYPE,"Option, Warrant or"
OFFERING,ISSECURITYTOBEACQUIREDTYPE,Security to be Acquired
OFFERING,NULL,Key
OFFERING,ISPOOLEDINVESTMENTFUNDTYPE,Pooled Investment
OFFERING,ISTENANTINCOMMONTYPE,Tenant -in-Common
OFFERING,ISMINERALPROPERTYTYPE,Mineral Property
OFFERING,ISOTHERTYPE,Other (describe) ALPHANUMERIC 5 Yes
OFFERING,DESCRIPTIONOFOTHERTYPE,Description of Pooled
OFFERING,ISBUSINESSCOMBINATIONTRANS,Is this offering being
OFFERING,BUSCOMBCLARIFICATIONOFRESP,Clarification of
OFFERING,MINIMUMINVESTMENTACCEPTED,Minimum investment
OFFERING,OVER100RECIPIENTFLAG,Over 100 recipients ALPHANUMERIC 5 Yes
OFFERING,TOTALOFFERINGAMOUNT,Total offering amount ALPHANUMERIC 12 No
OFFERING,TOTALAMOUNTSOLD,Total amount sold NUMERIC 12 No
OFFERING,TOTALREMAINING,Total remaining to be
OFFERING,SALESAMTCLARIFICATIONOFRESP,Clarification of
OFFERING,HASNONACCREDITEDINVESTORS,Select if securities in
OFFERING,NUMBERNONACCREDITEDINVESTORS,Number of such non -
OFFERING,NULL,Key
OFFERING,TOTALNUMBERALREADYINVESTED,Regardless of whether
OFFERING,SALESCOMM_DOLLARAMOUNT,"Sales Commissions,"
OFFERING,USD,NUMERIC 12 No
OFFERING,SALESCOMM_ISESTIMATE,Estimate ALPHANUMERIC 5 Yes
OFFERING,FINDERSFEE_DOLLARAMOUNT,Finders Fee USD NUMERIC 12 No
OFFERING,FINDERSFEE_ISESTIMATE,Estimate ALPHANUMERIC 5 Yes
OFFERING,FINDERFEECLARIFICATIONOFRESP,Clarification of
OFFERING,GROSSPROCEEDSUSED_DOLLARAMOUNT,Provide the amount of
OFFERING,GROSSPROCEEDSUSED_ISESTIMATE,Estimate ALPHANUMERIC 5 Yes
OFFERING,GROSSPROCEEDSUSED_CLAROFRESP,Clarification of
OFFERING,AUTHORIZEDREPRESENTATIVE,I also am a duly
RECIPIENTS,NULL,Key
RECIPIENTS,ACCESSIONNUMBER,The 20 -character string
RECIPIENTS,RECIPIENT_SEQ_KEY,Recipient index key. NUMERIC 38 No *
RECIPIENTS,RECIPIENTNAME,Recipient ALPHANUMERIC 150 No
RECIPIENTS,RECIPIENTCRDNUMBER,Recipient CRD Number ALPHANUMERIC 9 No
RECIPIENTS,ASSOCIATEDBDNAME,(Associated) Broker or Dealer ALPHANUMERIC 150 No
RECIPIENTS,ASSOCIATEDBDCRDNUMBER,(Associated) Broker or Dealer
RECIPIENTS,CRD,Number ALPHANUMERIC 9 No
RECIPIENTS,STREET1,Street Address 1 ALPHANUMERIC 40 No
RECIPIENTS,STREET2,Street Address 2 ALPHANUMERIC 40 Yes
RECIPIENTS,CITY,City ALPHANUMERIC 30 No
RECIPIENTS,STATEORCOUNTRY,State/Province/Country ALPHANUMERIC 255 No
RECIPIENTS,STATEORCOUNTRYDESCRIPTION,Full name of the country or
RECIPIENTS,ZIPCODE,Zip/Postal Code ALPHANUMERIC 10 No
RECIPIENTS,STATES_OR_VALUE_LIST,List of States or Countries of
RECIPIENTS,DESCRIPTIONS_LIST,Full name of States or
RECIPIENTS,FOREIGNSOLICITATION,Selected if the recipient has
RELATEDPERSONS,NULL,Key
RELATEDPERSONS,ACCESSIONNUMBER,The 20 -character string
RELATEDPERSONS,RELATEDPERSON_SEQ_KEY,Related person index key. NUMERIC 38 No *
RELATEDPERSONS,FIRSTNAME,First Name ALPHANUMERIC 150 No
RELATEDPERSONS,MIDDLENAME,Middle Name ALPHANUMERIC 150 Yes
RELATEDPERSONS,NULL,Key
RELATEDPERSONS,LASTNAME,Last Name ALPHANUMERIC 150 No
RELATEDPERSONS,STREET1,Street Address 1 ALPHANUMERIC 40 No
RELATEDPERSONS,STREET2,Street Address 2 ALPHANUMERIC 40 Yes
RELATEDPERSONS,CITY,City ALPHANUMERIC 30 No
RELATEDPERSONS,STATEORCOUNTRY,State/Province/Country ALPHANUMERIC 255 No
RELATEDPERSONS,STATEORCOUNTRYDESCRIPTION,Full name of the country or
RELATEDPERSONS,ZIPCODE,Zip/Postal Code ALPHANUMERIC 10 No
RELATEDPERSONS,RELATIONSHIP_1,Relationship of related person
RELATEDPERSONS,RELATIONSHIP_2,Relationship of related person
RELATEDPERSONS,RELATIONSHIP_3,Relationship of related person
RELATEDPERSONS,RELATIONSHIPCLARIFICATION,Clarification of Response (if
SIGNATURES,NULL,Key
SIGNATURES,ACCESSIONNUMBER,The 20 -character string formed
SIGNATURES,SIGNATURE_SEQ_KEY,Signature index key. NUMERIC 38 No *
SIGNATURES,ISSUERNAME,Name of Issuer ALPHANUMERIC 150 No
SIGNATURES,SIGNATURENAME,Name of signature ALPHANUMERIC 30 No
SIGNATURES,NAMEOFSIGNER,Full name of person signing the
SIGNATURES,SIGNATURETITLE,Title of person signing the form. ALPHANUMERIC 60 No
SIGNATURES,SIGNATUREDATE,Date of signature. ALPHANUMERIC 255 No
SIGNATURES,U.S.,State/Country Codes and Descriptions
