Section,Field Name,Field Description
FORMDSUBMISSION,NULL,Key
FORMDSUBMISSION,ACCESSIONNUMBER,The 20 -character string formed from the 18- digit number assigned by the Commission to each EDGAR submission. ALPHANUMERIC (nnnnnnnnnn- nn- nnnnnn) 20 No *
FORMDSUBMISSION,FILE_NUM,File Number provided by Commission for the submission. The File Number is sourced from EDGAR. ALPHANUMERIC 30 Yes
FORMDSUBMISSION,FILING_DATE,Date filed with the Commission. The Filing Date is sourced from EDGAR. DATE (DD -MMM-YY) 8 Yes
FORMDSUBMISSION,SIC_CODE,Standard Industrial Classification Codes. These codes are also used as a basis for assigning review responsibility for the company's filings. ALPHANUMERIC 4 Yes
FORMDSUBMISSION,SUBMISSIONTYPE,Submission type ALPHANUMERIC 255 No
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 persons. ALPHANUMERIC 5 Yes"
FORMDSUBMISSION,OVER100ISSUERFLAG,"Yes, if over 100 issuers. ALPHANUMERIC 5 Yes Note: To access the complete submission files for a given filing, please see the Commission EDGAR website. The Commission website folder https://www.sec.gov/Archives/edgar/data/{cik}/{accession}/ will always contain all the data sets for a given submission. To assemble the folder address to any filing referenced in the"
FORMDSUBMISSION,FORMDSUBMISSION,"data set, simply substitute {cik} with the CIK (see ISSUERS) field and replace {accession} with the ACCESSIONNUMBER field (after removing the dash character). 5.2 ISSUERS The ISSUERS data file contains specified information for the issuer provided in the submission."
ISSUERS,NULL,Key
ISSUERS,ACCESSIONNUMBER,The 20 -character string formed from the 18- digit number assigned by the Commission to each EDGAR submission. ALPHANUMERIC (nnnnnnnnnn- nn-nnnnnn) 20 No *
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary issuer; No if not ALPHANUMERIC 3 No"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key. NUMERIC 38 No *
ISSUERS,CIK,Central index key (CIK) of issuer submitting the filing. ALPHANUMERIC 10 No
ISSUERS,ENTITYNAME,Name of Issuer ALPHANUMERIC 150 Yes
ISSUERS,STREET1,Street Address 1 ALPHANUMERIC 40 No
ISSUERS,STREET2,Street Address 2 ALPHANUMERIC 40 Yes
ISSUERS,CITY,City ALPHANUMERIC 30 No
ISSUERS,STATEORCOUNTRY,State/Province/Country ALPHANUMERIC 255 No
ISSUERS,STATEORCOUNTRYDESCRIPTION,Full name of the country or state ALPHANUMERIC 50 Yes
ISSUERS,ZIPCODE,Zip/Postal Code ALPHANUMERIC 10 No
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issuer ALPHANUMERIC 20 No
ISSUERS,JURISDICTIONOFINC,Jurisdiction of Incorporation/Organization ALPHANUMERIC 50 Yes
ISSUERS,ISSUER_PREVIOUSNAME_1,Issuer Previous Name 1 ALPHANUMERIC 150 Yes
ISSUERS,ISSUER_PREVIOUSNAME_2,Issuer Previous Name 2 ALPHANUMERIC 150 Yes
ISSUERS,ISSUER_PREVIOUSNAME_3,Issuer Previous Name 3 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_1,EDGAR Previous Name 1 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_2,EDGAR Previous Name 2 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_3,EDGAR Previous Name 3 ALPHANUMERIC 150 Yes
ISSUERS,ENTITYTYPE,Entity type ALPHANUMERIC 255 No
ISSUERS,ENTITYTYPEOTHERDESC,Description of Entity Type when indicated as 'Other' in Entity Type ALPHANUMERIC 255 Yes
ISSUERS,YEAROFINC_TIMESPAN_CHOICE,Year of Incorporation/Organization (Specify Year) Within Last Five Years (Specify Year) ALPHANUMERIC 150 No
ISSUERS,YEAROFINC_VALUE_ENTERED,Year of Incorporation value entered ALPHANUMERIC 4 Yes 5.3 OFFERING The OFFERING data file contains information regarding the offering requirements.
OFFERING,NULL,Key
OFFERING,ACCESSIONNUMBER,The 20 -character string formed from the 18- digit number assigned by the Commission to each EDGAR submission. ALPHANUMERIC (nnnnnnnnnn-nn-nnnnnn) 20 No *
OFFERING,INDUSTRYGROUPTYPE,Type of Industry ALPHANUMERIC 255 No
OFFERING,INVESTMENTFUNDTYPE,Type of Securities Offered ALPHANUMERIC 255 Yes
OFFERING,IS40ACT,Flag to indicate whether the issuer registered as an investment company under the Investment Company Act of 1940 ALPHANUMERIC 5 Yes
OFFERING,REVENUERANGE,Revenue Range ALPHANUMERIC 255 Yes
OFFERING,AGGREGATENETASSETVALUERANGE,Aggregate Net Asset Value Range ALPHANUMERIC 255 Yes
OFFERING,FEDERALEXEMPTIONS_ITEMS_LIST,List of exemptions under Securities Act ALPHANUMERIC 1000 Yes
OFFERING,ISAMENDMENT,New Notice /Amendment ALPHANUMERIC 5 No
OFFERING,PREVIOUSACCESSIONNUMBER,Previous Accession Number; The 20- character string formed from the 18- digit number assigned by the Commission to each EDGAR submission. ALPHANUMERIC 20 Yes
OFFERING,SALE_DATE,Sale Date ALPHANUMERIC 255 Yes
OFFERING,YETTOOCCUR,First Sale Yet to Occur ALPHANUMERIC 5 Yes
OFFERING,MORETHANONEYEAR,Duration of offering more than one year ALPHANUMERIC 5 No
OFFERING,ISEQUITYTYPE,Equity ALPHANUMERIC 5 Yes
OFFERING,ISDEBTTYPE,Debt ALPHANUMERIC 5 Yes
OFFERING,ISOPTIONTOACQUIRETYPE,"Option, Warrant or Other Right to Acquire Another Security ALPHANUMERIC 5 Yes"
OFFERING,ISSECURITYTOBEACQUIREDTYPE,"Security to be Acquired Upon Exercise of Option, Warrant or Other Right to Acquire Security ALPHANUMERIC 5 Yes Field Name Field Description Format Max Size May be"
OFFERING,NULL,Key
OFFERING,ISPOOLEDINVESTMENTFUNDTYPE,Pooled Investment Fund Interests ALPHANUMERIC 5 Yes
OFFERING,ISTENANTINCOMMONTYPE,Tenant -in-Common Securities ALPHANUMERIC 5 Yes
OFFERING,ISMINERALPROPERTYTYPE,Mineral Property Securities ALPHANUMERIC 5 Yes
OFFERING,ISOTHERTYPE,Other (describe) ALPHANUMERIC 5 Yes
OFFERING,DESCRIPTIONOFOTHERTYPE,Description of Pooled Investment Type when indicated as 'Other' in 'OtherType' as Pooled Investment Type ALPHANUMERIC 255 Yes
OFFERING,ISBUSINESSCOMBINATIONTRANS,"Is this offering being made in connection with a business combination transaction, such as a merger, acquisition, or exchange offer? ALPHANUMERIC 5 No"
OFFERING,BUSCOMBCLARIFICATIONOFRESP,Clarification of Response (if Necessary) ALPHANUMERIC 255 Yes
OFFERING,MINIMUMINVESTMENTACCEPTED,Minimum investment accepted from any outside investor NUMERIC 19 No
OFFERING,OVER100RECIPIENTFLAG,Over 100 recipients ALPHANUMERIC 5 Yes
OFFERING,TOTALOFFERINGAMOUNT,Total offering amount ALPHANUMERIC 12 No
OFFERING,TOTALAMOUNTSOLD,Total amount sold NUMERIC 12 No
OFFERING,TOTALREMAINING,Total remaining to be sold ALPHANUMERIC 12 No
